url	celltype	tool	dataset_key	concatenation_key	assembly
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmK562HMM.bed.gz	K562	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhekHMM.bed.gz	NHEK	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhlfHMM.bed.gz	NHLF	ChromHMM	chromhmm9	chromhmm9	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E128_15_coreMarks_mnemonics.bed.gz	NHLF	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E128_18_core_K27ac_mnemonics.bed.gz	NHLF	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E128_25_imputed12marks_mnemonics.bed.gz	NHLF	ChromHMM	roadmap25	roadmap25	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E123_15_coreMarks_mnemonics.bed.gz	K562	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E123_18_core_K27ac_mnemonics.bed.gz	K562	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E123_25_imputed12marks_mnemonics.bed.gz	K562	ChromHMM	roadmap25	roadmap25	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E003_15_coreMarks_mnemonics.bed.gz	H1-HESC	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E003_18_core_K27ac_mnemonics.bed.gz	H1-HESC	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E003_25_imputed12marks_mnemonics.bed.gz	H1-HESC	ChromHMM	roadmap25	roadmap25	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E116_15_coreMarks_mnemonics.bed.gz	GM12878	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E116_18_core_K27ac_mnemonics.bed.gz	GM12878	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E116_25_imputed12marks_mnemonics.bed.gz	GM12878	ChromHMM	roadmap25	roadmap25	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E112_15_coreMarks_mnemonics.bed.gz	HUVEC	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E112_18_core_K27ac_mnemonics.bed.gz	HUVEC	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E112_25_imputed12marks_mnemonics.bed.gz	HUVEC	ChromHMM	roadmap25	roadmap25	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E119_15_coreMarks_mnemonics.bed.gz	HMEC	ChromHMM	roadmap15	roadmap15	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E119_18_core_K27ac_mnemonics.bed.gz	HMEC	ChromHMM	roadmap18	roadmap18	hg19
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E119_25_imputed12marks_mnemonics.bed.gz	HMEC	ChromHMM	roadmap25	roadmap25	hg19
